strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
green kush,happy,energetic,relaxed,focused,hungry,pain,depression,fatigue,stress,insomnia,drymouth,dryeyes,paranoid,dizzy,headache,citrus,sweet,earthy,indica,"happy, energetic, relaxed, focused, hungry, pain, depression, fatigue, stress, insomnia, drymouth, dryeyes, paranoid, dizzy, headache, citrus, sweet, earthy, indica"
green lantern,uplifted,happy,relaxed,euphoric,talkative,stress,depression,headaches,seizures,pain,drymouth,dryeyes,dizzy,paranoid,anxious,pungent,earthy,pine,sativa,"uplifted, happy, relaxed, euphoric, talkative, stress, depression, headaches, seizures, pain, drymouth, dryeyes, dizzy, paranoid, anxious, pungent, earthy, pine, sativa"
green line og,happy,creative,euphoric,uplifted,relaxed,pain,inflammation,stress,depression,musclespasms,dryeyes,drymouth,dizzy,none,none,lime,sweet,citrus,hybrid,"happy, creative, euphoric, uplifted, relaxed, pain, inflammation, stress, depression, musclespasms, dryeyes, drymouth, dizzy, none, none, lime, sweet, citrus, hybrid"
green love potion,relaxed,euphoric,happy,uplifted,aroused,stress,pain,depression,musclespasms,inflammation,drymouth,dryeyes,headache,none,none,sweet,flowery,pungent,indica,"relaxed, euphoric, happy, uplifted, aroused, stress, pain, depression, musclespasms, inflammation, drymouth, dryeyes, headache, none, none, sweet, flowery, pungent, indica"
green magic,uplifted,tingly,energetic,relaxed,hungry,depression,eyepressure,headaches,insomnia,lackofappetite,dryeyes,paranoid,anxious,dizzy,drymouth,flowery,apple,berry,hybrid,"uplifted, tingly, energetic, relaxed, hungry, depression, eyepressure, headaches, insomnia, lackofappetite, dryeyes, paranoid, anxious, dizzy, drymouth, flowery, apple, berry, hybrid"
green mango,euphoric,happy,uplifted,relaxed,creative,depression,headaches,lackofappetite,musclespasms,pain,drymouth,none,none,none,none,citrus,earthy,woody,indica,"euphoric, happy, uplifted, relaxed, creative, depression, headaches, lackofappetite, musclespasms, pain, drymouth, none, none, none, none, citrus, earthy, woody, indica"
green monster,happy,uplifted,talkative,energetic,euphoric,depression,stress,pain,insomnia,fatigue,drymouth,dryeyes,headache,paranoid,dizzy,earthy,sweet,flowery,hybrid,"happy, uplifted, talkative, energetic, euphoric, depression, stress, pain, insomnia, fatigue, drymouth, dryeyes, headache, paranoid, dizzy, earthy, sweet, flowery, hybrid"
green poison,sleepy,euphoric,relaxed,hungry,tingly,pain,musclespasms,depression,headaches,insomnia,drymouth,dryeyes,headache,dizzy,anxious,pungent,earthy,sweet,indica,"sleepy, euphoric, relaxed, hungry, tingly, pain, musclespasms, depression, headaches, insomnia, drymouth, dryeyes, headache, dizzy, anxious, pungent, earthy, sweet, indica"
green python,euphoric,happy,relaxed,sleepy,creative,eyepressure,insomnia,lackofappetite,musclespasms,pain,drymouth,dizzy,dryeyes,none,none,woody,earthy,sweet,indica,"euphoric, happy, relaxed, sleepy, creative, eyepressure, insomnia, lackofappetite, musclespasms, pain, drymouth, dizzy, dryeyes, none, none, woody, earthy, sweet, indica"
green queen,happy,energetic,euphoric,focused,uplifted,stress,depression,insomnia,spasticity,pain,drymouth,dryeyes,dizzy,headache,anxious,sweet,earthy,pungent,hybrid,"happy, energetic, euphoric, focused, uplifted, stress, depression, insomnia, spasticity, pain, drymouth, dryeyes, dizzy, headache, anxious, sweet, earthy, pungent, hybrid"
green ribbon,focused,happy,aroused,uplifted,energetic,depression,fatigue,nausea,headaches,lackofappetite,dryeyes,drymouth,paranoid,dizzy,anxious,lemon,treefruit,lime,hybrid,"focused, happy, aroused, uplifted, energetic, depression, fatigue, nausea, headaches, lackofappetite, dryeyes, drymouth, paranoid, dizzy, anxious, lemon, treefruit, lime, hybrid"
gremlin,euphoric,relaxed,uplifted,aroused,focused,depression,headaches,insomnia,musclespasms,pain,drymouth,dryeyes,paranoid,none,none,sweet,pungent,chestnut,hybrid,"euphoric, relaxed, uplifted, aroused, focused, depression, headaches, insomnia, musclespasms, pain, drymouth, dryeyes, paranoid, none, none, sweet, pungent, chestnut, hybrid"
grilled cheese,euphoric,happy,relaxed,giggly,talkative,insomnia,stress,depression,lackofappetite,pain,dizzy,dryeyes,paranoid,drymouth,none,cheese,earthy,pepper,hybrid,"euphoric, happy, relaxed, giggly, talkative, insomnia, stress, depression, lackofappetite, pain, dizzy, dryeyes, paranoid, drymouth, none, cheese, earthy, pepper, hybrid"
grimace,relaxed,happy,giggly,euphoric,sleepy,stress,insomnia,pain,depression,headaches,drymouth,dryeyes,dizzy,anxious,paranoid,sweet,pungent,earthy,indica,"relaxed, happy, giggly, euphoric, sleepy, stress, insomnia, pain, depression, headaches, drymouth, dryeyes, dizzy, anxious, paranoid, sweet, pungent, earthy, indica"
grimace og,relaxed,happy,euphoric,sleepy,aroused,insomnia,stress,pain,depression,headaches,dryeyes,drymouth,none,none,none,grape,pungent,diesel,indica,"relaxed, happy, euphoric, sleepy, aroused, insomnia, stress, pain, depression, headaches, dryeyes, drymouth, none, none, none, grape, pungent, diesel, indica"
grimmdica,relaxed,euphoric,happy,sleepy,creative,pain,stress,spasticity,lackofappetite,insomnia,none,none,none,none,none,earthy,woody,butter,indica,"relaxed, euphoric, happy, sleepy, creative, pain, stress, spasticity, lackofappetite, insomnia, none, none, none, none, none, earthy, woody, butter, indica"
griz kush,happy,relaxed,creative,uplifted,focused,stress,depression,insomnia,eyepressure,headaches,drymouth,dryeyes,paranoid,anxious,headache,skunk,woody,lemon,hybrid,"happy, relaxed, creative, uplifted, focused, stress, depression, insomnia, eyepressure, headaches, drymouth, dryeyes, paranoid, anxious, headache, skunk, woody, lemon, hybrid"
gsc,happy,relaxed,euphoric,uplifted,creative,stress,depression,pain,fatigue,insomnia,drymouth,dryeyes,anxious,dizzy,paranoid,sweet,earthy,flowery,hybrid,"happy, relaxed, euphoric, uplifted, creative, stress, depression, pain, fatigue, insomnia, drymouth, dryeyes, anxious, dizzy, paranoid, sweet, earthy, flowery, hybrid"
gto,energetic,focused,creative,euphoric,giggly,depression,headaches,pain,none,none,none,none,none,none,none,blueberry,none,none,hybrid,"energetic, focused, creative, euphoric, giggly, depression, headaches, pain, none, none, none, none, none, none, none, blueberry, none, none, hybrid"
guard dawg,relaxed,focused,sleepy,happy,tingly,lackofappetite,stress,insomnia,depression,inflammation,dizzy,drymouth,none,none,none,earthy,sweet,woody,indica,"relaxed, focused, sleepy, happy, tingly, lackofappetite, stress, insomnia, depression, inflammation, dizzy, drymouth, none, none, none, earthy, sweet, woody, indica"
guava cake,euphoric,tingly,happy,relaxed,creative,depression,headaches,none,none,none,dizzy,dryeyes,drymouth,none,none,sweet,citrus,lemon,hybrid,"euphoric, tingly, happy, relaxed, creative, depression, headaches, none, none, none, dizzy, dryeyes, drymouth, none, none, sweet, citrus, lemon, hybrid"
guava chem,happy,uplifted,relaxed,euphoric,creative,depression,pain,stress,lackofappetite,musclespasms,drymouth,dryeyes,paranoid,dizzy,anxious,sweet,citrus,chemical,hybrid,"happy, uplifted, relaxed, euphoric, creative, depression, pain, stress, lackofappetite, musclespasms, drymouth, dryeyes, paranoid, dizzy, anxious, sweet, citrus, chemical, hybrid"
guava gelato,euphoric,creative,uplifted,happy,relaxed,cramps,fatigue,eyepressure,headaches,pain,drymouth,dryeyes,paranoid,none,none,sweet,grapefruit,tropical,hybrid,"euphoric, creative, uplifted, happy, relaxed, cramps, fatigue, eyepressure, headaches, pain, drymouth, dryeyes, paranoid, none, none, sweet, grapefruit, tropical, hybrid"
guava kush,happy,relaxed,euphoric,uplifted,energetic,depression,pain,headaches,fatigue,stress,drymouth,dryeyes,paranoid,headache,anxious,tropical,citrus,sweet,hybrid,"happy, relaxed, euphoric, uplifted, energetic, depression, pain, headaches, fatigue, stress, drymouth, dryeyes, paranoid, headache, anxious, tropical, citrus, sweet, hybrid"
gucci og,relaxed,uplifted,giggly,happy,energetic,depression,stress,fatigue,pain,lackofappetite,drymouth,paranoid,dryeyes,anxious,none,spicy/herbal,pine,sweet,hybrid,"relaxed, uplifted, giggly, happy, energetic, depression, stress, fatigue, pain, lackofappetite, drymouth, paranoid, dryeyes, anxious, none, spicy/herbal, pine, sweet, hybrid"
guido kush,euphoric,uplifted,creative,relaxed,sleepy,stress,nausea,pain,depression,insomnia,drymouth,dryeyes,paranoid,none,none,none,none,none,indica,"euphoric, uplifted, creative, relaxed, sleepy, stress, nausea, pain, depression, insomnia, drymouth, dryeyes, paranoid, none, none, none, none, none, indica"
gumbo,relaxed,hungry,sleepy,giggly,happy,stress,depression,insomnia,lackofappetite,headaches,dryeyes,drymouth,dizzy,headache,paranoid,pine,woody,spicy/herbal,indica,"relaxed, hungry, sleepy, giggly, happy, stress, depression, insomnia, lackofappetite, headaches, dryeyes, drymouth, dizzy, headache, paranoid, pine, woody, spicy/herbal, indica"
gummo,relaxed,happy,uplifted,sleepy,euphoric,stress,insomnia,depression,pain,headaches,drymouth,dizzy,dryeyes,headache,none,citrus,earthy,flowery,hybrid,"relaxed, happy, uplifted, sleepy, euphoric, stress, insomnia, depression, pain, headaches, drymouth, dizzy, dryeyes, headache, none, citrus, earthy, flowery, hybrid"
gummy bears,happy,euphoric,aroused,sleepy,giggly,stress,pain,depression,fatigue,headaches,drymouth,dizzy,dryeyes,paranoid,anxious,woody,pepper,chemical,hybrid,"happy, euphoric, aroused, sleepy, giggly, stress, pain, depression, fatigue, headaches, drymouth, dizzy, dryeyes, paranoid, anxious, woody, pepper, chemical, hybrid"
gupta haze,relaxed,happy,euphoric,giggly,hungry,none,none,none,none,none,drymouth,dryeyes,none,none,none,earthy,flowery,pungent,hybrid,"relaxed, happy, euphoric, giggly, hungry, none, none, none, none, none, drymouth, dryeyes, none, none, none, earthy, flowery, pungent, hybrid"
gupta kush,relaxed,happy,sleepy,focused,talkative,stress,depression,lackofappetite,pain,insomnia,none,none,none,none,none,earthy,woody,flowery,hybrid,"relaxed, happy, sleepy, focused, talkative, stress, depression, lackofappetite, pain, insomnia, none, none, none, none, none, earthy, woody, flowery, hybrid"
guptilla,aroused,sleepy,happy,euphoric,relaxed,stress,pain,depression,fatigue,inflammation,drymouth,dryeyes,dizzy,none,none,earthy,citrus,tropical,hybrid,"aroused, sleepy, happy, euphoric, relaxed, stress, pain, depression, fatigue, inflammation, drymouth, dryeyes, dizzy, none, none, earthy, citrus, tropical, hybrid"
gutbuster,euphoric,tingly,uplifted,energetic,relaxed,depression,stress,fatigue,lackofappetite,pain,anxious,dryeyes,paranoid,none,none,flowery,cheese,citrus,indica,"euphoric, tingly, uplifted, energetic, relaxed, depression, stress, fatigue, lackofappetite, pain, anxious, dryeyes, paranoid, none, none, flowery, cheese, citrus, indica"
hades haze,relaxed,euphoric,giggly,hungry,creative,insomnia,depression,fatigue,lackofappetite,pain,dryeyes,none,none,none,none,earthy,citrus,mint,indica,"relaxed, euphoric, giggly, hungry, creative, insomnia, depression, fatigue, lackofappetite, pain, dryeyes, none, none, none, none, earthy, citrus, mint, indica"
hades og,uplifted,tingly,relaxed,euphoric,happy,eyepressure,lackofappetite,stress,insomnia,headaches,drymouth,anxious,paranoid,dizzy,none,citrus,lemon,sweet,indica,"uplifted, tingly, relaxed, euphoric, happy, eyepressure, lackofappetite, stress, insomnia, headaches, drymouth, anxious, paranoid, dizzy, none, citrus, lemon, sweet, indica"
hammerhead,happy,euphoric,creative,energetic,sleepy,depression,pain,fatigue,lackofappetite,stress,drymouth,paranoid,anxious,dryeyes,dizzy,earthy,spicy/herbal,woody,indica,"happy, euphoric, creative, energetic, sleepy, depression, pain, fatigue, lackofappetite, stress, drymouth, paranoid, anxious, dryeyes, dizzy, earthy, spicy/herbal, woody, indica"
hannibal nectar,euphoric,happy,uplifted,creative,energetic,depression,fatigue,headaches,cramps,insomnia,drymouth,paranoid,none,none,none,earthy,strawberry,vanilla,indica,"euphoric, happy, uplifted, creative, energetic, depression, fatigue, headaches, cramps, insomnia, drymouth, paranoid, none, none, none, earthy, strawberry, vanilla, indica"
haole,relaxed,happy,euphoric,uplifted,creative,stress,headaches,pain,depression,fatigue,dryeyes,drymouth,headache,dizzy,none,earthy,woody,sweet,hybrid,"relaxed, happy, euphoric, uplifted, creative, stress, headaches, pain, depression, fatigue, dryeyes, drymouth, headache, dizzy, none, earthy, woody, sweet, hybrid"
haoma,relaxed,happy,uplifted,energetic,creative,inflammation,pain,musclespasms,stress,depression,drymouth,dryeyes,none,none,none,berry,citrus,earthy,indica,"relaxed, happy, uplifted, energetic, creative, inflammation, pain, musclespasms, stress, depression, drymouth, dryeyes, none, none, none, berry, citrus, earthy, indica"
haoma mist,tingly,sleepy,hungry,happy,relaxed,pain,lackofappetite,inflammation,stress,depression,dizzy,dryeyes,drymouth,headache,none,flowery,sweet,citrus,hybrid,"tingly, sleepy, hungry, happy, relaxed, pain, lackofappetite, inflammation, stress, depression, dizzy, dryeyes, drymouth, headache, none, flowery, sweet, citrus, hybrid"
happy rancher,happy,euphoric,relaxed,giggly,focused,stress,insomnia,pain,nausea,depression,drymouth,dryeyes,dizzy,none,none,pepper,skunk,lemon,hybrid,"happy, euphoric, relaxed, giggly, focused, stress, insomnia, pain, nausea, depression, drymouth, dryeyes, dizzy, none, none, pepper, skunk, lemon, hybrid"
hardcore og,relaxed,euphoric,happy,tingly,sleepy,pain,insomnia,stress,headaches,lackofappetite,drymouth,dryeyes,dizzy,anxious,paranoid,earthy,sweet,lemon,indica,"relaxed, euphoric, happy, tingly, sleepy, pain, insomnia, stress, headaches, lackofappetite, drymouth, dryeyes, dizzy, anxious, paranoid, earthy, sweet, lemon, indica"
harlequin,relaxed,focused,uplifted,happy,energetic,pain,stress,depression,inflammation,fatigue,drymouth,dryeyes,anxious,headache,dizzy,earthy,woody,flowery,sativa,"relaxed, focused, uplifted, happy, energetic, pain, stress, depression, inflammation, fatigue, drymouth, dryeyes, anxious, headache, dizzy, earthy, woody, flowery, sativa"
harlequin gdp,relaxed,sleepy,happy,euphoric,uplifted,stress,pain,nausea,depression,inflammation,drymouth,dizzy,anxious,headache,paranoid,pine,chemical,earthy,hybrid,"relaxed, sleepy, happy, euphoric, uplifted, stress, pain, nausea, depression, inflammation, drymouth, dizzy, anxious, headache, paranoid, pine, chemical, earthy, hybrid"
harley storm,relaxed,creative,euphoric,happy,uplifted,pain,stress,inflammation,musclespasms,depression,drymouth,paranoid,dryeyes,none,none,nutty,pungent,spicy/herbal,sativa,"relaxed, creative, euphoric, happy, uplifted, pain, stress, inflammation, musclespasms, depression, drymouth, paranoid, dryeyes, none, none, nutty, pungent, spicy/herbal, sativa"
harley twin,creative,energetic,euphoric,relaxed,uplifted,none,none,none,none,none,drymouth,none,none,none,none,sweet,none,none,sativa,"creative, energetic, euphoric, relaxed, uplifted, none, none, none, none, none, drymouth, none, none, none, none, sweet, none, none, sativa"
harmonia,happy,euphoric,relaxed,giggly,tingly,pain,stress,headaches,inflammation,cramps,dryeyes,dizzy,drymouth,none,none,earthy,woody,sweet,indica,"happy, euphoric, relaxed, giggly, tingly, pain, stress, headaches, inflammation, cramps, dryeyes, dizzy, drymouth, none, none, earthy, woody, sweet, indica"
harmony,relaxed,happy,uplifted,euphoric,tingly,stress,depression,fatigue,lackofappetite,pain,dryeyes,drymouth,dizzy,anxious,paranoid,earthy,flowery,rose,hybrid,"relaxed, happy, uplifted, euphoric, tingly, stress, depression, fatigue, lackofappetite, pain, dryeyes, drymouth, dizzy, anxious, paranoid, earthy, flowery, rose, hybrid"
harry potter,relaxed,creative,uplifted,happy,energetic,stress,musclespasms,pain,inflammation,cramps,drymouth,dryeyes,headache,none,none,citrus,sweet,earthy,hybrid,"relaxed, creative, uplifted, happy, energetic, stress, musclespasms, pain, inflammation, cramps, drymouth, dryeyes, headache, none, none, citrus, sweet, earthy, hybrid"
hash plant,relaxed,sleepy,happy,uplifted,hungry,pain,stress,insomnia,depression,nausea,drymouth,dryeyes,dizzy,anxious,headache,earthy,flowery,spicy/herbal,indica,"relaxed, sleepy, happy, uplifted, hungry, pain, stress, insomnia, depression, nausea, drymouth, dryeyes, dizzy, anxious, headache, earthy, flowery, spicy/herbal, indica"
hashbar og,relaxed,euphoric,happy,focused,aroused,lackofappetite,stress,headaches,pain,insomnia,drymouth,dryeyes,none,none,none,sweet,earthy,skunk,indica,"relaxed, euphoric, happy, focused, aroused, lackofappetite, stress, headaches, pain, insomnia, drymouth, dryeyes, none, none, none, sweet, earthy, skunk, indica"
hashberry,relaxed,happy,euphoric,sleepy,uplifted,stress,pain,insomnia,depression,lackofappetite,drymouth,dryeyes,paranoid,anxious,dizzy,berry,sweet,earthy,indica,"relaxed, happy, euphoric, sleepy, uplifted, stress, pain, insomnia, depression, lackofappetite, drymouth, dryeyes, paranoid, anxious, dizzy, berry, sweet, earthy, indica"
hashplant haze,happy,relaxed,sleepy,hungry,uplifted,pain,depression,stress,inflammation,nausea,drymouth,paranoid,dryeyes,anxious,none,blueberry,pepper,sweet,sativa,"happy, relaxed, sleepy, hungry, uplifted, pain, depression, stress, inflammation, nausea, drymouth, paranoid, dryeyes, anxious, none, blueberry, pepper, sweet, sativa"
hawaiian,happy,relaxed,focused,euphoric,uplifted,stress,pain,depression,fatigue,lackofappetite,dizzy,drymouth,dryeyes,paranoid,anxious,tropical,sweet,citrus,sativa,"happy, relaxed, focused, euphoric, uplifted, stress, pain, depression, fatigue, lackofappetite, dizzy, drymouth, dryeyes, paranoid, anxious, tropical, sweet, citrus, sativa"
hawaiian cookies,euphoric,relaxed,energetic,focused,happy,stress,depression,pain,lackofappetite,musclespasms,drymouth,dryeyes,paranoid,dizzy,headache,flowery,sweet,earthy,hybrid,"euphoric, relaxed, energetic, focused, happy, stress, depression, pain, lackofappetite, musclespasms, drymouth, dryeyes, paranoid, dizzy, headache, flowery, sweet, earthy, hybrid"
hawaiian delight,uplifted,relaxed,euphoric,creative,tingly,pain,stress,nausea,depression,fatigue,drymouth,dryeyes,headache,paranoid,dizzy,earthy,diesel,flowery,indica,"uplifted, relaxed, euphoric, creative, tingly, pain, stress, nausea, depression, fatigue, drymouth, dryeyes, headache, paranoid, dizzy, earthy, diesel, flowery, indica"
hawaiian diesel,relaxed,energetic,happy,euphoric,creative,stress,depression,lackofappetite,pain,fatigue,drymouth,anxious,dryeyes,dizzy,none,tropical,sweet,pungent,sativa,"relaxed, energetic, happy, euphoric, creative, stress, depression, lackofappetite, pain, fatigue, drymouth, anxious, dryeyes, dizzy, none, tropical, sweet, pungent, sativa"
hawaiian dream,relaxed,happy,uplifted,focused,euphoric,stress,pain,inflammation,musclespasms,depression,drymouth,dryeyes,anxious,dizzy,headache,sweet,tropical,pineapple,sativa,"relaxed, happy, uplifted, focused, euphoric, stress, pain, inflammation, musclespasms, depression, drymouth, dryeyes, anxious, dizzy, headache, sweet, tropical, pineapple, sativa"
hawaiian duckfoot,uplifted,energetic,euphoric,creative,giggly,none,none,none,none,none,dryeyes,drymouth,headache,none,none,lavender,berry,flowery,indica,"uplifted, energetic, euphoric, creative, giggly, none, none, none, none, none, dryeyes, drymouth, headache, none, none, lavender, berry, flowery, indica"
hawaiian fire,euphoric,uplifted,happy,tingly,hungry,stress,insomnia,pain,depression,headaches,dryeyes,dizzy,drymouth,anxious,headache,tropical,sweet,grapefruit,hybrid,"euphoric, uplifted, happy, tingly, hungry, stress, insomnia, pain, depression, headaches, dryeyes, dizzy, drymouth, anxious, headache, tropical, sweet, grapefruit, hybrid"
hawaiian haze,happy,uplifted,creative,energetic,talkative,nausea,fatigue,stress,depression,cramps,drymouth,dryeyes,dizzy,paranoid,anxious,earthy,flowery,tropical,sativa,"happy, uplifted, creative, energetic, talkative, nausea, fatigue, stress, depression, cramps, drymouth, dryeyes, dizzy, paranoid, anxious, earthy, flowery, tropical, sativa"
hawaiian mayan gold,uplifted,happy,energetic,euphoric,creative,depression,stress,headaches,fatigue,musclespasms,drymouth,none,none,none,none,citrus,sweet,tropical,sativa,"uplifted, happy, energetic, euphoric, creative, depression, stress, headaches, fatigue, musclespasms, drymouth, none, none, none, none, citrus, sweet, tropical, sativa"
hawaiian punch,happy,uplifted,euphoric,tingly,talkative,depression,stress,fatigue,cramps,inflammation,dryeyes,drymouth,anxious,dizzy,headache,sweet,tropical,pineapple,sativa,"happy, uplifted, euphoric, tingly, talkative, depression, stress, fatigue, cramps, inflammation, dryeyes, drymouth, anxious, dizzy, headache, sweet, tropical, pineapple, sativa"
hawaiian purple kush,happy,relaxed,sleepy,giggly,euphoric,stress,insomnia,lackofappetite,pain,depression,drymouth,dryeyes,paranoid,anxious,dizzy,tropical,earthy,pineapple,indica,"happy, relaxed, sleepy, giggly, euphoric, stress, insomnia, lackofappetite, pain, depression, drymouth, dryeyes, paranoid, anxious, dizzy, tropical, earthy, pineapple, indica"
hawaiian sativa,uplifted,euphoric,happy,creative,relaxed,stress,depression,insomnia,nausea,pain,drymouth,dizzy,dryeyes,headache,anxious,citrus,tropical,sweet,sativa,"uplifted, euphoric, happy, creative, relaxed, stress, depression, insomnia, nausea, pain, drymouth, dizzy, dryeyes, headache, anxious, citrus, tropical, sweet, sativa"
hawaiian skunk,creative,focused,euphoric,relaxed,happy,stress,depression,insomnia,pain,headaches,drymouth,dryeyes,paranoid,dizzy,headache,earthy,skunk,citrus,hybrid,"creative, focused, euphoric, relaxed, happy, stress, depression, insomnia, pain, headaches, drymouth, dryeyes, paranoid, dizzy, headache, earthy, skunk, citrus, hybrid"
hawaiian snow,energetic,creative,uplifted,relaxed,focused,stress,depression,pain,fatigue,musclespasms,drymouth,dryeyes,paranoid,dizzy,headache,tropical,pineapple,lime,sativa,"energetic, creative, uplifted, relaxed, focused, stress, depression, pain, fatigue, musclespasms, drymouth, dryeyes, paranoid, dizzy, headache, tropical, pineapple, lime, sativa"
hawaiian sunrise,uplifted,happy,relaxed,tingly,euphoric,stress,depression,pain,fatigue,headaches,drymouth,dryeyes,anxious,dizzy,headache,citrus,lemon,flowery,hybrid,"uplifted, happy, relaxed, tingly, euphoric, stress, depression, pain, fatigue, headaches, drymouth, dryeyes, anxious, dizzy, headache, citrus, lemon, flowery, hybrid"
hawaiian thunder fuck,creative,euphoric,happy,energetic,relaxed,stress,insomnia,depression,pain,nausea,drymouth,headache,paranoid,none,none,sweet,tropical,pineapple,hybrid,"creative, euphoric, happy, energetic, relaxed, stress, insomnia, depression, pain, nausea, drymouth, headache, paranoid, none, none, sweet, tropical, pineapple, hybrid"
hawaiian trinity,happy,uplifted,euphoric,aroused,relaxed,pain,depression,fatigue,stress,none,drymouth,none,none,none,none,pungent,tropical,woody,hybrid,"happy, uplifted, euphoric, aroused, relaxed, pain, depression, fatigue, stress, none, drymouth, none, none, none, none, pungent, tropical, woody, hybrid"
hayleys haze,relaxed,uplifted,happy,talkative,euphoric,depression,stress,pain,musclespasms,fatigue,none,none,none,none,none,sweet,honey,lemon,sativa,"relaxed, uplifted, happy, talkative, euphoric, depression, stress, pain, musclespasms, fatigue, none, none, none, none, none, sweet, honey, lemon, sativa"
haze,happy,uplifted,euphoric,hungry,relaxed,depression,stress,pain,lackofappetite,inflammation,drymouth,dryeyes,paranoid,dizzy,headache,earthy,sweet,citrus,sativa,"happy, uplifted, euphoric, hungry, relaxed, depression, stress, pain, lackofappetite, inflammation, drymouth, dryeyes, paranoid, dizzy, headache, earthy, sweet, citrus, sativa"
haze berry,euphoric,relaxed,happy,uplifted,energetic,depression,stress,pain,nausea,spasticity,drymouth,headache,dizzy,anxious,paranoid,berry,flowery,earthy,sativa,"euphoric, relaxed, happy, uplifted, energetic, depression, stress, pain, nausea, spasticity, drymouth, headache, dizzy, anxious, paranoid, berry, flowery, earthy, sativa"
haze heaven,happy,talkative,relaxed,uplifted,energetic,depression,lackofappetite,stress,fatigue,inflammation,drymouth,anxious,dryeyes,headache,none,pungent,spicy/herbal,blueberry,hybrid,"happy, talkative, relaxed, uplifted, energetic, depression, lackofappetite, stress, fatigue, inflammation, drymouth, anxious, dryeyes, headache, none, pungent, spicy/herbal, blueberry, hybrid"
haze mist,energetic,focused,happy,hungry,none,insomnia,nausea,stress,none,none,dryeyes,drymouth,none,none,none,none,none,none,sativa,"energetic, focused, happy, hungry, none, insomnia, nausea, stress, none, none, dryeyes, drymouth, none, none, none, none, none, none, sativa"
haze wreck,relaxed,uplifted,focused,sleepy,happy,stress,depression,pain,lackofappetite,fatigue,drymouth,dryeyes,dizzy,none,none,woody,sage,sweet,sativa,"relaxed, uplifted, focused, sleepy, happy, stress, depression, pain, lackofappetite, fatigue, drymouth, dryeyes, dizzy, none, none, woody, sage, sweet, sativa"
hazmat og,euphoric,happy,creative,talkative,aroused,depression,lackofappetite,stress,none,none,none,none,none,none,none,sweet,berry,earthy,hybrid,"euphoric, happy, creative, talkative, aroused, depression, lackofappetite, stress, none, none, none, none, none, none, none, sweet, berry, earthy, hybrid"
head cheese,relaxed,euphoric,uplifted,focused,tingly,stress,musclespasms,pain,depression,headaches,drymouth,dryeyes,anxious,dizzy,headache,pungent,cheese,skunk,hybrid,"relaxed, euphoric, uplifted, focused, tingly, stress, musclespasms, pain, depression, headaches, drymouth, dryeyes, anxious, dizzy, headache, pungent, cheese, skunk, hybrid"
head trip,relaxed,happy,uplifted,focused,euphoric,stress,pain,headaches,depression,insomnia,dryeyes,drymouth,paranoid,none,none,earthy,coffee,pine,hybrid,"relaxed, happy, uplifted, focused, euphoric, stress, pain, headaches, depression, insomnia, dryeyes, drymouth, paranoid, none, none, earthy, coffee, pine, hybrid"
headband,relaxed,happy,uplifted,euphoric,creative,stress,depression,pain,headaches,lackofappetite,drymouth,dryeyes,headache,paranoid,dizzy,diesel,earthy,lemon,hybrid,"relaxed, happy, uplifted, euphoric, creative, stress, depression, pain, headaches, lackofappetite, drymouth, dryeyes, headache, paranoid, dizzy, diesel, earthy, lemon, hybrid"
headbanger,relaxed,euphoric,sleepy,uplifted,happy,depression,pain,stress,nausea,fatigue,drymouth,dryeyes,anxious,dizzy,headache,earthy,citrus,diesel,hybrid,"relaxed, euphoric, sleepy, uplifted, happy, depression, pain, stress, nausea, fatigue, drymouth, dryeyes, anxious, dizzy, headache, earthy, citrus, diesel, hybrid"
heatwave,happy,relaxed,energetic,hungry,uplifted,depression,stress,none,none,none,drymouth,none,none,none,none,diesel,citrus,earthy,hybrid,"happy, relaxed, energetic, hungry, uplifted, depression, stress, none, none, none, drymouth, none, none, none, none, diesel, citrus, earthy, hybrid"
heaven scent,creative,energetic,euphoric,focused,happy,none,none,none,none,none,drymouth,none,none,none,none,flowery,mint,pungent,hybrid,"creative, energetic, euphoric, focused, happy, none, none, none, none, none, drymouth, none, none, none, none, flowery, mint, pungent, hybrid"
heavenly og,euphoric,happy,relaxed,energetic,creative,pain,stress,depression,fatigue,none,drymouth,none,none,none,none,earthy,pine,woody,hybrid,"euphoric, happy, relaxed, energetic, creative, pain, stress, depression, fatigue, none, drymouth, none, none, none, none, earthy, pine, woody, hybrid"
heavy duty fruity,happy,relaxed,uplifted,sleepy,euphoric,stress,depression,insomnia,pain,nausea,drymouth,dryeyes,dizzy,headache,anxious,pepper,sweet,citrus,hybrid,"happy, relaxed, uplifted, sleepy, euphoric, stress, depression, insomnia, pain, nausea, drymouth, dryeyes, dizzy, headache, anxious, pepper, sweet, citrus, hybrid"
heisenberg kush,happy,energetic,creative,uplifted,focused,stress,fatigue,depression,pain,eyepressure,drymouth,anxious,dizzy,dryeyes,headache,grape,berry,sweet,sativa,"happy, energetic, creative, uplifted, focused, stress, fatigue, depression, pain, eyepressure, drymouth, anxious, dizzy, dryeyes, headache, grape, berry, sweet, sativa"
